lat,lng,violationdescription
39.976899,-75.115675,VACANT PROP-BLIGHTED COND
40.031356,-75.043394,RUBBISH/GARBAGE EXTERIOR-OWNER
40.031209,-75.042834,POOL - STAGNANT WATER
40.033186,-75.039857,CLIP VIOLATION NOTICE
40.033186,-75.039857,CLIP VIOLATION NOTICE
40.030775,-75.079902,RUBBISH/GARBAGE EXTERIOR-OWNER
40.030301,-75.079877,LIGHT FIXTURE DEFECTIVE-RES
40.026137,-75.128935,INT S-STAIRS REPAIR
40.03329,-75.039654,HIGH WEEDS-CUT
40.033011,-75.039348,ANIMAL DROPPINGS
40.033895,-75.086596,DRAINAGE-DOWNSPOUT REPR/REPLC
40.033618,-75.086788,EXT S-ROOF REPAIR
40.033618,-75.086788,LICENSE-RES GENERAL
40.033816,-75.086473,CLIP VIOLATION NOTICE
39.996166,-75.177419,INSURANCE - POST CERT
39.987616,-75.125185,DRAINAGE-GRADE YARD
39.984337,-75.122455,CLIP VIOLATION NOTICE
39.998937,-75.09949,LICENSE-VAC RES BLDG
